Ncomp,T / K90,fluid[0],fluid[1],fluid[2],p / Pa,x[0] / mole frac.,x[1] / mole frac.,x[2] / mole frac.,y[0] / mole frac.,y[1] / mole frac.,y[2] / mole frac.,p / MPa
2,419.15,PROPANE,C12,,453000.000,0.0755,0.9245,,0.94865,0.05135,,0.453
2,419.15,PROPANE,C12,,622000.000,0.1048,0.8952,,0.95308,0.04692,,0.622
2,419.15,PROPANE,C12,,1011000.000,0.1642,0.8358,,0.96513,0.03487,,1.011
2,419.15,PROPANE,C12,,1694000.000,0.2766,0.7234,,0.97512,0.02488,,1.694
2,419.15,PROPANE,C12,,2185000.000,0.3403,0.6597,,0.97512,0.02488,,2.185
2,419.15,PROPANE,C12,,2908000.000,0.4651,0.5349,,0.97518,0.02482,,2.908
2,419.15,PROPANE,C12,,3397000.000,0.5334,0.4666,,0.97598,0.02402,,3.397
2,419.15,PROPANE,C12,,3907000.000,0.5938,0.4062,,0.97276,0.02724,,3.907
2,419.15,PROPANE,C12,,4820000.000,0.7033,0.2967,,0.97255,0.02745,,4.820
2,457.65,PROPANE,C12,,406000.000,0.0451,0.9549,,0.8682,0.1318,,0.406
2,457.65,PROPANE,C12,,663000.000,0.0872,0.9128,,0.90189,0.09811,,0.663
2,457.65,PROPANE,C12,,830000.000,0.0999,0.9001,,0.91889,0.08111,,0.830
2,457.65,PROPANE,C12,,1367000.000,0.1698,0.8302,,0.94423,0.05577,,1.367
2,457.65,PROPANE,C12,,1825000.000,0.2306,0.7694,,0.95299,0.04701,,1.825
2,457.65,PROPANE,C12,,2309000.000,0.2901,0.7099,,0.95408,0.04592,,2.309
2,457.65,PROPANE,C12,,2815000.000,0.3293,0.6707,,0.96007,0.03993,,2.815
2,457.65,PROPANE,C12,,3813000.000,0.4361,0.5639,,0.96134,0.03866,,3.813
2,457.65,PROPANE,C12,,4792000.000,0.5363,0.4637,,0.95919,0.04081,,4.792
2,457.65,PROPANE,C12,,5799000.000,0.6278,0.3722,,0.95279,0.04721,,5.799
2,457.65,PROPANE,C12,,6640000.000,0.7008,0.2992,,0.94045,0.05955,,6.640
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,